#"No.","Time","Source","Destination","Protocol","Length","Info"
"35929","191.663072","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s100.m4s HTTP/1.1 "
"36075","192.915706","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s101.m4s HTTP/1.1 "
"36285","194.920882","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s102.m4s HTTP/1.1 "
"36447","196.963578","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s103.m4s HTTP/1.1 "
"36609","199.409946","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s104.m4s HTTP/1.1 "
"36813","200.966394","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s105.m4s HTTP/1.1 "
"37039","203.149328","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s106.m4s HTTP/1.1 "
"37315","205.165991","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s107.m4s HTTP/1.1 "
"37596","207.602702","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s108.m4s HTTP/1.1 "
"37775","209.311592","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s109.m4s HTTP/1.1 "
"37976","211.223513","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s110.m4s HTTP/1.1 "
"38210","213.427698","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s111.m4s HTTP/1.1 "
"38397","215.190760","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s112.m4s HTTP/1.1 "
"38525","216.893640","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s113.m4s HTTP/1.1 "
"38738","218.953432","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s114.m4s HTTP/1.1 "
"39015","221.490998","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s115.m4s HTTP/1.1 "
"39214","223.436222","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s116.m4s HTTP/1.1 "
"39375","224.973850","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1244778bps/BigBuckBunny_2s116.m4s HTTP/1.1 "
"39523","226.355487","136.186.229.110","136.186.230.189","HTTP","541","GET /bunny_1244778bps/BigBuckBunny_2s_init.mp4 HTTP/1.1 "
"39535","226.441890","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1244778bps/BigBuckBunny_2s117.m4s HTTP/1.1 "
"39710","228.122847","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1244778bps/BigBuckBunny_2s118.m4s HTTP/1.1 "
"39849","229.411042","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s118.m4s HTTP/1.1 "
"39993","230.765203","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s119.m4s HTTP/1.1 "
"40148","232.246815","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s120.m4s HTTP/1.1 "
"40303","233.661705","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s121.m4s HTTP/1.1 "
"40465","235.234848","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s122.m4s HTTP/1.1 "
"40745","237.763350","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s123.m4s HTTP/1.1 "
"40987","240.066141","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s124.m4s HTTP/1.1 "
