#"No.","Time","Source","Destination","Protocol","Length","Info"
"49878","323.635668","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1244778bps/BigBuckBunny_2s156.m4s HTTP/1.1 "
"50059","325.415250","136.186.229.110","136.186.230.189","HTTP","537","GET /bunny_45652bps/BigBuckBunny_2s156.m4s HTTP/1.1 "
"50085","325.647183","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s156.m4s HTTP/1.1 "
"50336","328.042981","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1032682bps/BigBuckBunny_2s156.m4s HTTP/1.1 "
"50484","329.495891","136.186.229.110","136.186.230.189","HTTP","541","GET /bunny_1032682bps/BigBuckBunny_2s_init.mp4 HTTP/1.1 "
"50502","329.664425","136.186.229.110","136.186.230.189","HTTP","537","GET /bunny_45652bps/BigBuckBunny_2s157.m4s HTTP/1.1 "
"50517","329.822032","136.186.229.110","136.186.230.189","HTTP","537","GET /bunny_45652bps/BigBuckBunny_2s158.m4s HTTP/1.1 "
"50535","329.968106","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_791182bps/BigBuckBunny_2s158.m4s HTTP/1.1 "
"50664","331.221935","136.186.229.110","136.186.230.189","HTTP","540","GET /bunny_791182bps/BigBuckBunny_2s_init.mp4 HTTP/1.1 "
"50673","331.267498","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_791182bps/BigBuckBunny_2s159.m4s HTTP/1.1 "
"50783","332.282465","136.186.229.110","136.186.230.189","HTTP","538","GET /bunny_791182bps/BigBuckBunny_2s160.m4s HTTP/1.1 "
"50903","333.365421","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1244778bps/BigBuckBunny_2s160.m4s HTTP/1.1 "
"51097","335.178601","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s160.m4s HTTP/1.1 "
"51346","337.477363","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s161.m4s HTTP/1.1 "
"51624","339.303952","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s162.m4s HTTP/1.1 "
"51750","339.419603","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_1546902bps/BigBuckBunny_2s163.m4s HTTP/1.1 "
"51962","339.570350","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s163.m4s HTTP/1.1 "
"52459","339.930291","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s164.m4s HTTP/1.1 "
